Grupo|Entente|TipoBloco|Message|TipoMsg
finalizador-inv|opcoes-cmb|Carrosel Vertical|Outros assuntos|title
finalizador-inv|opcoes-cmb|Carrosel Vertical|Outros|title
finalizador-inv|opcoes-2|Lógica|Alterar dados|title
finalizador-inv|opcoes-2|Lógica|Dificuldades de login|title
finalizador-inv|opcoes-2|Lógica|Cancelar conta|title
finalizador-inv|opcoes-2|Lógica|Outros assuntos|title
finalizador-inv|opcoes-2|Lógica||title
finalizador-inv|opcoes-3|Lógica|Depósito|title
finalizador-inv|opcoes-3|Lógica|Retirada|title
finalizador-inv|opcoes-3|Lógica|Transferência de ativos|title
finalizador-inv|opcoes-3|Lógica|Outros assuntos|title
finalizador-inv|opcoes-3|Lógica||title
finalizador-inv|opcoes-4|Lógica|Aumento de limite|title
finalizador-inv|opcoes-4|Lógica|Dúvidas sobre câmbio|title
finalizador-inv|opcoes-4|Lógica|Liquidação de câmbio|title
finalizador-inv|opcoes-4|Lógica|Outros assuntos|title
finalizador-inv|opcoes-4|Lógica||title
finalizador-inv|perdaroubofurto-card|Carrosel Vertical|"Nosso atendimento está disponível de segunda-feira a sexta-feira, das 06h às 23h, horário de Brasília.

Você efetuou o bloqueio no link anterior?"|message
finalizador-inv|perdaroubofurto-card|Carrosel Vertical|Sim|title
finalizador-inv|perdaroubofurto-card|Carrosel Vertical|Não|title
finalizador-inv|perdaroubofurto-card|Carrosel Vertical|Outros|title
finalizador-inv|avisodaimportancia|Mensagem|"O recomendado é que você bloqueie imediatamente seus cartões e transações financeiras acessando o link a seguir:

https://pit.avenue.us/emergency-block/link-request"|message
finalizador-inv|avisodaimportancia|Mensagem|Saída|title
finalizador-inv|perdaroubofurto-card-copy-20|Carrosel Vertical|Agora que você efetuou o bloqueio temporário. O que você deseja realizar?|message
finalizador-inv|perdaroubofurto-card-copy-20|Carrosel Vertical|Deixar mensagem|title
finalizador-inv|perdaroubofurto-card-copy-20|Carrosel Vertical|Encerrar atendimento|title
finalizador-inv|perdaroubofurto-card-copy-20|Carrosel Vertical|Outros|title
finalizador-inv|timer-aviso-atend|Lógica|Dentro do Horário|title
